id,title,story_ref,story_type,need,type,severity,inclusion_risk,evidence,notes,candidate_fix
1,Keyboard-only cannot reach all controls,stories.md#S1,Job story,Full keyboard access,Accessibility,High,"Keyboard,Motor,SR","P-A notes_A L7,L40; WCAG 2.1.1","Some task controls (e.g. delete) may not be reachable or obvious via Tab-only flows; ensure all interactive elements are in focus order and operable from keyboard.",true
2,No explicit confirmation after task actions,stories.md#S2,Job story,Trust & feedback,Accessibility,High,"Cognitive,SR","P-C notes_C L7; P-A notes_A L29; WCAG 4.1.3","After add/edit/delete, users are unsure if changes saved; add visible and SR-announced status messages for task actions in both JS and no-JS flows.",false
3,Text too low-contrast in bright light,stories.md#S3,Job story,Legible in bright conditions,Accessibility,Medium,"Low vision,Colour-blind","P-B notes_B L41; WCAG 1.4.3","On mobile in sunlight, small low-contrast text becomes unreadable; review colour palette and font sizes to meet contrast and legibility requirements.",false
4,No warning on past or invalid dates,stories.md#S4,Job story,Safe input & error alerts,Accessibility,High,Cognitive,"P-C notes_C L19; P-B notes_B L30; WCAG 3.3.1","Time-sensitive tasks (e.g. appointments) can be saved with past dates without clear validation; add server-side and inline error messages that identify the field and problem.",true
5,Filter context lost on reload,stories.md#S5,Job story,Maintain context in long lists,Usability,Medium,Cognitive,"P-A notes_A L18,L29; P-B notes_B L18","When filtering by module or priority, a page reload resets filters and forces users to rebuild context; persist filter state in query params or session and restore after PRG.",false
6,Critical tasks not visually distinguished,stories.md#S5,Job story,Highlight important tasks,Usability,Medium,Cognitive,"P-A notes_A L29; P-B notes_B L18","High-risk tasks are buried among low-priority items with no clear way to mark or sort by urgency; add a critical/priority flag and default views that surface urgent tasks.",false
7,No reassuring daily summary view,stories.md#S6,Job story,Reassuring overview,Usability,Low,Cognitive,"P-C notes_C L7,L42; P-A notes_A L51","Anxious users imagine 'hundreds of unknown tasks' in the list; add a simple daily summary screen showing count, done so far, and next task time to reduce uncertainty.",false
8,No travel mode for commuting on mobile,stories.md#S6,Job story,Mobile-friendly commuting UI,Accessibility,Medium,"Motor,Low vision","P-B notes_B L7,L53; P-C notes_C L42; WCAG 1.4.4; WCAG 1.4.10","On bus/train with one-hand use and motion, small controls and dense layout are hard to operate; design a simplified travel mode with larger targets and good reflow.",false
9,Delete button text contrast 4.2:1 (fails AA),wk07/audit/axe-report.md#Issue2,WCAG violation,Visibility,Accessibility,High,"Low vision,Situational","axe: color-contrast; WCAG 1.4.3","Pico.css default gray #6c757d on white = 4.2:1; needs 4.5:1",true
10,Focus outline too faint (Pico.css default),wk07/audit/wcag-checklist.md#2.4.7,WCAG partial,Visibility,Accessibility,Medium,Keyboard,"Manual test: outline visible but faint","Add custom :focus { outline: 3px solid #1976d2; }",true
11,No confirmation for delete action,wk07/audit/heuristics.md#H3,Heuristic violation,Error prevention,Usability,Medium,"Motor,Cognitive","Nielsen H3 + H5","Accidental clicks cause permanent deletion; add confirmation dialog",false
12,No undo feature for delete,wk07/audit/heuristics.md#H3,Heuristic violation,Customer control,Usability,Low,"Motor,Cognitive","Nielsen H3","Defer to Semester 2; requires state management",false
13,No help documentation or tooltips,wk07/audit/heuristics.md#H10,Heuristic violation,Learning support,Usability,Low,Cognitive,"Nielsen H10","Defer to Semester 2; low priority",false